id,property_id,maintenance_name,cost,maintenance_type,due_date
1,205,Organic upward-trending pricing structure,$174.32,scheduled,2023-03-11 23:24:31
2,461,Networked 6th generation website,$2106.89,preventative,2024-04-30 20:44:41
3,981,Vision-oriented modular success,$2423.44,emergency,2024-09-26 19:25:13
4,768,Multi-lateral dedicated secured line,$2454.62,preventative,2024-10-03 02:10:13
5,512,Synchronised mobile circuit,$2394.38,preventative,2024-03-23 14:47:13
6,761,Digitized didactic extranet,$343.45,emergency,2024-09-27 04:49:30
7,444,Polarised radical project,$2082.64,emergency,2025-03-08 19:20:28
8,89,Down-sized web-enabled core,$1124.62,cosmetic,2024-07-17 00:02:36
9,309,Devolved zero administration matrix,$2205.88,preventative,2024-12-17 18:28:55
10,92,Multi-layered leading edge archive,$835.92,preventative,2023-03-20 02:13:55
11,464,Pre-emptive composite forecast,$280.75,emergency,2023-10-09 17:00:06
12,379,Diverse solution-oriented monitoring,$2262.76,cosmetic,2023-04-05 02:49:25
13,528,Decentralized system-worthy matrices,$1358.64,cosmetic,2023-08-13 15:17:12
14,774,Fundamental demand-driven projection,$1601.28,cosmetic,2023-03-22 06:35:09
15,488,Versatile mobile alliance,$132.39,emergency,2024-04-24 00:08:43
16,727,Intuitive dynamic projection,$2270.46,scheduled,2023-05-03 09:08:26
17,740,Expanded well-modulated middleware,$750.46,emergency,2024-11-11 02:17:09
18,208,Versatile upward-trending neural-net,$1925.53,preventative,2023-09-06 09:07:11
19,464,Managed multi-tasking customer loyalty,$384.17,cosmetic,2024-04-28 06:59:11
20,806,Inverse didactic contingency,$2072.19,scheduled,2023-10-12 23:37:50
21,895,Open-source executive budgetary management,$778.24,emergency,2024-06-21 23:21:12
22,84,Horizontal incremental ability,$1497.65,emergency,2023-11-25 09:40:40
23,20,Innovative background emulation,$1288.16,cosmetic,2025-07-16 07:46:22
24,615,Public-key upward-trending policy,$1421.06,preventative,2025-03-17 19:38:54
25,728,Optimized even-keeled architecture,$670.79,preventative,2024-04-19 20:55:02
26,995,Synergistic upward-trending superstructure,$870.82,scheduled,2025-07-09 14:14:02
27,229,Horizontal uniform open architecture,$1013.58,emergency,2024-01-19 06:53:40
28,32,Ameliorated tangible task-force,$883.48,scheduled,2023-10-29 16:58:41
29,111,Persevering zero defect productivity,$1464.65,preventative,2023-09-16 16:10:44
30,901,Enhanced bifurcated ability,$607.88,scheduled,2024-09-19 11:08:39
31,213,Open-architected 24/7 intranet,$2354.20,emergency,2024-05-26 05:34:44
32,101,Organized dedicated functionalities,$624.46,scheduled,2024-06-17 00:05:14
33,699,Ameliorated national conglomeration,$2418.50,preventative,2024-08-04 18:49:05
34,216,Upgradable mission-critical benchmark,$1236.41,cosmetic,2024-01-27 01:23:01
35,558,Diverse disintermediate Graphical User Interface,$1934.54,preventative,2023-10-17 11:02:59
36,705,Robust system-worthy complexity,$1388.73,emergency,2024-01-28 15:10:12
37,297,Polarised reciprocal superstructure,$1388.03,preventative,2023-06-23 01:33:24
38,266,Right-sized composite functionalities,$272.78,cosmetic,2025-02-24 02:41:28
39,977,Implemented bottom-line firmware,$702.34,cosmetic,2024-10-12 11:38:45
40,469,Phased attitude-oriented paradigm,$29.03,cosmetic,2024-05-17 07:57:04
41,889,Re-contextualized heuristic utilisation,$1183.69,cosmetic,2023-06-23 01:33:49
42,464,Ameliorated fresh-thinking conglomeration,$1079.68,cosmetic,2025-05-07 20:31:17
43,178,Innovative systemic productivity,$1084.29,emergency,2024-05-17 01:54:10
44,18,Public-key foreground hierarchy,$894.74,cosmetic,2023-05-26 23:17:34
45,55,Multi-lateral cohesive website,$2389.96,cosmetic,2024-01-01 15:39:04
46,882,Centralized non-volatile task-force,$1105.97,emergency,2024-10-09 01:37:46
47,624,Profound transitional synergy,$1281.62,emergency,2025-03-01 07:41:49
48,261,Virtual multimedia core,$2329.32,preventative,2023-09-12 22:57:51
49,339,Persevering responsive concept,$2432.23,scheduled,2023-09-17 17:34:33
50,375,Function-based non-volatile artificial intelligence,$1622.24,preventative,2025-05-17 20:43:44
51,393,De-engineered bi-directional workforce,$746.85,scheduled,2025-07-18 10:58:52
52,943,Stand-alone bi-directional throughput,$1031.49,emergency,2023-12-27 00:17:20
53,977,Exclusive 4th generation frame,$1716.23,scheduled,2025-03-25 18:57:35
54,722,Optional heuristic website,$2064.99,preventative,2024-06-29 13:57:58
55,904,Assimilated didactic local area network,$1438.32,scheduled,2024-06-28 12:28:48
56,160,Synchronised 6th generation superstructure,$1948.98,emergency,2023-07-07 01:55:38
57,115,Re-contextualized didactic process improvement,$2389.91,scheduled,2024-04-06 19:01:54
58,711,Object-based fresh-thinking orchestration,$2092.09,cosmetic,2025-01-15 02:06:44
59,966,Integrated responsive synergy,$1104.74,scheduled,2024-11-06 15:27:38
60,293,Exclusive grid-enabled emulation,$397.22,emergency,2025-05-09 17:43:19
61,241,Robust multi-tasking encryption,$197.55,emergency,2024-02-10 02:20:56
62,564,Optional mission-critical emulation,$1844.63,emergency,2024-12-16 17:26:37
63,538,Ameliorated 24 hour customer loyalty,$988.10,emergency,2025-05-18 08:26:53
64,498,Cross-platform 24/7 policy,$1996.33,scheduled,2024-08-17 16:07:02
65,842,Realigned systemic open system,$1218.16,scheduled,2025-07-27 23:54:12
66,100,Assimilated impactful artificial intelligence,$1410.65,scheduled,2025-01-20 05:37:46
67,314,Managed local parallelism,$959.66,cosmetic,2024-12-05 13:09:23
68,94,Seamless well-modulated software,$1605.31,scheduled,2024-09-29 14:07:01
69,565,Customizable static access,$1636.85,emergency,2024-12-11 05:19:20
70,584,Synchronised high-level contingency,$2253.16,cosmetic,2025-07-04 09:50:16
